fase|area|prioridad|estimacion|titulo|criterios
M0|core|alta|S|ADR-001: elegir stack backend definitivo|Documentar 2-3 opciones con pros y contras;Registrar la decisión y sus consecuencias en docs/adr/001-stack.md;Marcar el ADR como Aceptado antes de escribir código de aplicación
M0|core|alta|M|ADR-002: estrategia de multi-institución|Comparar base compartida con institucion_id contra base por institución;Definir cómo se resuelve la institución activa en cada request;Documentar el impacto en backups y en migraciones
M0|infra|alta|S|Estructura del repositorio y convenciones|README con descripción del sistema y cómo levantarlo;.gitignore, .editorconfig y convención de commits definidas;Rama main protegida
M0|infra|alta|M|Entorno de desarrollo reproducible|Un solo comando levanta la app y la base de datos;Datos de prueba (seed) de una institución ficticia;Documentado en README para que otra persona lo levante sin ayuda
M0|core|alta|L|Esquema inicial de base de datos y sistema de migraciones|Migraciones versionadas y aplicables en orden;Todas las tablas de negocio llevan institucion_id;Índices en las claves foráneas y en los campos de búsqueda frecuente
M0|core|alta|S|Tabla instituciones y alta de institución|CRUD de instituciones accesible solo para superadmin;Datos: nombre, dirección, CUIT, referente, capacidad;Al menos una institución cargada por seed
M0|seguridad|alta|M|Autenticación de usuarios|Login y logout con sesión segura;Contraseñas con hash bcrypt o Argon2;Recuperación de contraseña por correo;Bloqueo temporal tras N intentos fallidos
M0|seguridad|alta|L|Modelo de roles y permisos|Roles definidos según cap. 2 de la guía de buenas prácticas: superadmin, equipo de coordinación, encargado de recepción, coordinador pedagógico, educador, encargado de economato, personal de cocina, personal de mantenimiento y limpieza (los equipos itinerantes de la Dirección Provincial quedan fuera, pendientes de modelado propio);Permisos por módulo y por acción (ver, crear, editar, eliminar);Un usuario pertenece a una o más instituciones con rol por institución
M0|seguridad|alta|L|Aislamiento de datos por institución|Toda consulta filtra por la institución activa de forma automática;Un usuario no puede acceder a un registro de otra institución ni cambiando el ID en la URL;Prueba automatizada que verifica el aislamiento
M0|seguridad|alta|M|Registro de auditoría|Tabla de auditoría con usuario, acción, entidad, fecha e IP;Se registra todo acceso y modificación a datos sensibles de niños;Pantalla de consulta de auditoría para equipo de coordinación y superadmin
M0|seguridad|alta|S|Protecciones básicas de la aplicación web|Tokens CSRF en todos los formularios;Consultas parametrizadas en todo el acceso a datos;Escapado de salida para prevenir XSS;Cabeceras de seguridad configuradas
M0|ux|alta|M|Portar el layout base del prototipo|Sidebar, topbar, navegación entre módulos y sistema de modales funcionando;CSS del prototipo reutilizado;Comportamiento responsive del prototipo conservado
